,step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents
,0,4,0,0,0,4
,1,8,0,0,0,8
,2,8,0,0,0,8
,3,8,0,0,0,8
,4,8,0,0,0,8
,5,8,0,0,0,8
,6,8,0,0,0,8
,7,8,0,0,0,8
,8,8,0,0,0,8
,9,8,0,0,0,8
,10,8,0,0,0,8
,11,8,0,0,0,8
,12,8,0,0,0,8
,13,8,0,0,0,8
,14,8,0,0,0,8
,15,8,0,0,0,8
,16,8,0,0,0,8
,17,8,0,0,0,8
,18,8,0,0,0,8
,19,8,0,0,0,8
,20,8,0,0,0,8
,21,8,0,0,0,8
,22,8,0,0,0,8
,23,8,0,0,0,8
,24,8,0,0,0,8
,25,8,0,0,0,8
,26,8,0,0,0,8
,27,8,0,0,0,8
,28,8,0,0,0,8
,29,8,0,0,0,8
,30,8,0,0,0,8
,31,8,0,0,0,8
,32,8,0,0,0,8
,33,8,0,0,0,8
,34,8,0,0,0,8
,35,8,0,0,0,8
,36,8,0,0,0,8
,37,8,0,0,0,8
,38,8,0,0,0,8
,39,8,0,0,0,8
,40,8,0,0,0,8
,41,8,0,0,0,8
,42,8,0,0,0,8
,43,8,0,0,0,8
,44,8,0,0,0,8
,45,8,0,0,0,8
,46,8,0,0,0,8
,47,8,0,0,0,8
,48,8,0,0,0,8
,49,8,0,0,0,8
,50,8,0,0,0,8
,51,8,0,0,0,8
,52,8,0,0,0,8
,53,8,0,0,0,8
,54,8,0,0,0,8
,55,8,0,0,0,8
,56,8,0,0,0,8
,57,8,0,0,0,8
,58,8,0,0,0,8
,59,8,0,0,0,8
,60,8,0,0,0,8
,61,8,0,0,0,8
,62,8,0,0,0,8
,63,8,0,0,0,8
,64,8,0,0,0,8
,65,8,0,0,0,8
,66,8,0,0,0,8
,67,8,0,0,0,8
,68,8,0,0,0,8
,69,8,0,0,0,8
,70,8,0,0,0,8
,71,8,0,0,0,8
,72,8,0,0,0,8
,73,8,0,0,0,8
,74,8,0,0,0,8
,75,8,0,0,0,8
,76,8,0,0,0,8
,77,8,0,0,0,8
,78,8,0,0,0,8
,79,8,0,0,0,8
,80,8,0,0,0,8
,81,8,0,0,0,8
,82,8,0,0,0,8
,83,8,0,0,0,8
,84,8,0,0,0,8
,85,8,0,0,0,8
,86,8,0,0,0,8
,87,8,0,0,0,8
,88,8,0,0,0,8
,89,8,0,0,0,8
,90,8,0,0,0,8
,91,8,0,0,0,8
,92,8,0,0,0,8
,93,8,0,0,0,8
,94,8,0,0,0,8
,95,8,0,0,0,8
,96,8,0,0,0,8
,97,8,0,0,0,8
,98,8,0,0,0,8
,99,8,0,0,0,8
,100,8,0,0,0,8
,101,8,0,0,0,8
,102,8,0,0,0,8
,103,8,0,0,0,8
,104,8,0,0,0,8
,105,8,0,0,0,8
,106,8,0,0,0,8
,107,8,0,0,0,8
,108,8,0,0,0,8
,109,8,0,0,0,8
,110,8,0,0,0,8
,111,8,0,0,0,8
,112,8,0,0,0,8
,113,8,0,0,0,8
,114,8,0,0,0,8
,115,8,0,0,0,8
,116,8,0,0,0,8
,117,8,0,0,0,8
,118,8,0,0,0,8
,119,8,0,0,0,8
,120,8,0,0,0,8
,121,8,0,0,0,8
,122,8,0,0,0,8
,123,8,0,0,0,8
,124,8,0,0,0,8
,125,8,0,0,0,8
,126,8,0,0,0,8
,127,8,0,0,0,8
,128,8,0,0,0,8
,129,8,0,0,0,8
,130,8,0,0,0,8
,131,8,0,0,0,8
,132,8,0,0,0,8
,133,8,0,0,0,8
,134,8,0,0,0,8
,135,8,0,0,0,8
,136,8,0,0,0,8
,137,8,0,0,0,8
,138,8,0,0,0,8
,139,8,0,0,0,8
,140,8,0,0,0,8
,141,8,0,0,0,8
,142,8,0,0,0,8
,143,8,0,0,0,8
,144,8,0,0,0,8
,145,8,0,0,0,8
,146,8,0,0,0,8
,147,8,0,0,0,8
,148,8,0,0,0,8
,149,8,0,0,0,8
,150,8,0,0,0,8
,151,8,0,0,0,8
,152,8,0,0,0,8
,153,8,0,0,0,8
,154,8,0,0,0,8
,155,8,0,0,0,8
,156,8,0,0,0,8
,157,8,0,0,0,8
,158,8,0,0,0,8
,159,8,0,0,0,8
,160,8,0,0,0,8
,161,8,0,0,0,8
,162,8,0,0,0,8
,163,8,0,0,0,8
,164,8,0,0,0,8
,165,8,0,0,0,8
,166,8,0,0,0,8
,167,8,0,0,0,8
,168,8,0,0,0,8
,169,8,0,0,0,8
,170,8,0,0,0,8
,171,8,0,0,0,8
,172,8,0,0,0,8
,173,8,0,0,0,8
,174,8,0,0,0,8
,175,8,0,0,0,8
,176,8,0,0,0,8
,177,8,0,0,0,8
,178,8,0,0,0,8
,179,8,0,0,0,8
,180,8,0,0,0,8
,181,8,0,0,0,8
,182,8,0,0,0,8
,183,8,0,0,0,8
,184,8,0,0,0,8
,185,8,0,0,0,8
,186,8,0,0,0,8
,187,8,0,0,0,8
,188,8,0,0,0,8
,189,8,0,0,0,8
,190,8,0,0,0,8
,191,8,0,0,0,8
,192,8,0,0,0,8
,193,8,0,0,0,8
,194,8,0,0,0,8
,195,8,0,0,0,8
,196,8,0,0,0,8
,197,8,0,0,0,8
,198,8,0,0,0,8
,199,8,0,0,0,8
,200,8,0,0,0,8
,201,8,0,0,0,8
,202,8,0,0,0,8
,203,8,0,0,0,8
,204,8,0,0,0,8
,205,8,0,0,0,8
,206,8,0,0,0,8
,207,8,0,0,0,8
,208,8,0,0,0,8
,209,8,0,0,0,8
,210,8,0,0,0,8
,211,8,0,0,0,8
,212,8,0,0,0,8
,213,8,0,0,0,8
,214,8,0,0,0,8
,215,8,0,0,0,8
,216,8,0,0,0,8
,217,8,0,0,0,8
,218,8,0,0,0,8
,219,8,0,0,0,8
,220,8,0,0,0,8
,221,8,0,0,0,8
,222,8,0,0,0,8
,223,8,0,0,0,8
,224,8,0,0,0,8
,225,8,0,0,0,8
,226,8,0,0,0,8
,227,8,0,0,0,8
,228,8,0,0,0,8
,229,8,0,0,0,8
,230,8,0,0,0,8
,231,8,0,0,0,8
,232,8,0,0,0,8
,233,8,0,0,0,8
,234,8,0,0,0,8
